ID,NAME,IATA,COUNTRY
1,Private flight,N/A,
2,135 Airways,GNL,United States
3,1Time Airline,RNX,South Africa
4,2 Sqn No 1 Elementary Flying Training School,WYT,United Kingdom
5,213 Flight Unit,TFU,Russia
6,223 Flight Unit State Airline,CHD,Russia
7,224th Flight Unit,TTF,Russia
8,247 Jet Ltd,TWF,United Kingdom
9,3D Aviation,SEC,United States
10,40-Mile Air,MLA,United States
11,4D Air,QRT,Thailand
12,611897 Alberta Limited,THD,Canada
13,Ansett Australia,AAA,Australia
14,Abacus International,,Singapore
15,Abelag Aviation,AAB,Belgium
